Process Name,Memory Usage,CPU Usage
DiagsCap.exe,3551232,0
hp-one-agent-service.exe,6746112,0
svchost.exe,14319616,0
svchost.exe,17035264,0
SynTPEnh.exe,9809920,0
svchost.exe,16584704,0
AppVShNotify.exe,2260992,0
WmiPrvSE.exe,16023552,0
svchost.exe,23683072,0
svchost.exe,17973248,0
svchost.exe,27054080,0
svchost.exe,2629632,0
svchost.exe,2572288,0
conhost.exe,1695744,0
unsecapp.exe,6160384,0
explorer.exe,334155776,0
svchost.exe,26476544,0
chrome.exe,41848832,0
BridgeCommunication.exe,7815168,0
svchost.exe,6131712,0
wlanext.exe,1896448,0
conhost.exe,438272,0
chrome.exe,162537472,0
svchost.exe,1892352,0
mDNSResponder.exe,4784128,0
nssm.exe,2121728,0
svchost.exe,6377472,0
OneApp.IGCC.WinService.exe,11845632,0
svchost.exe,2715648,0
IntelAudioService.exe,7716864,0
HPCommRecovery.exe,8224768,0
jhi_service.exe,98304,0
ipfsvc.exe,770048,0
RtkAudUService64.exe,7426048,0
SECOMN64.exe,3928064,0
svchost.exe,6098944,0
HPPrintScanDoctorService.exe,1015808,0
ipf_uf.exe,1994752,0
svchost.exe,3850240,0
svchost.exe,12632064,0
mc-fw-host.exe,262656000,0
WMIRegistrationService.exe,2158592,0
XtuService.exe,19644416,0
svchost.exe,38764544,0
expressvpnd.exe,11116544,0
OverlayHelper.exe,25415680,0
svchost.exe,1122304,0
svchost.exe,3801088,0
RuntimeBroker.exe,29827072,0
smartscreen.exe,11005952,0
ipf_helper.exe,4186112,0
chrome.exe,20844544,0
Code.exe,237318144,0
steamservice.exe,9666560,0
svchost.exe,2011136,0
OmenInstallMonitor.exe,5894144,0
svchost.exe,11329536,0
taskhostw.exe,12386304,0
msedge.exe,6131712,0
UserOOBEBroker.exe,4263936,0
svchost.exe,4083712,0
Code.exe,259743744,0
svchost.exe,5459968,0
svchost.exe,3244032,0
RuntimeBroker.exe,6574080,0
python.exe,50589696,0
servicehost.exe,26624000,0
uihost.exe,17080320,0
OfficeClickToRun.exe,29081600,0
Code.exe,40173568,0
duet.exe,26800128,0
svchost.exe,10440704,0
SECOCL64.exe,8163328,0
conhost.exe,851968,0
svchost.exe,11268096,0
launcher.exe,34750464,0
RtkAudUService64.exe,7106560,0
svchost.exe,4235264,0
svchost.exe,9711616,0
RuntimeBroker.exe,26390528,0
